user_id,expedition_id
29509787,134049086
29509787,134048593
29387394,134042077
29387394,134030005
29509787,134028273
29509787,134028200
29509787,134027860
29509787,134027811
29387394,134024255
29387394,134022303
29509787,134017947
29509787,134016769
29509787,134016225
29509787,134015000
29509787,134014853
29509787,134014806
29387394,134014476
29509787,134014426
29509787,134014044
29509787,134013995
29509787,134013973
29509787,134013961
29509787,134013914
29509787,134013899
29509787,134012928
29509787,134012919
29509787,134012908
29509787,134012898
29509787,134012885
29509787,134012874
29509787,134012862
29509787,134012840
29509787,134012789
29509787,134012754
29509787,134012728
29509787,134012710
29509787,134011877
29509787,134011759
29509787,134011594
29387394,134011585
29509787,134011521
29509787,134011496
29509787,134011263
29509787,134011257
29509787,134009397
29509787,134008047
29509787,134007841
29509787,134007823
29509787,134007722
29509787,134006413
29509787,134006377
29509787,134005966
29509787,134005414
29509787,134005290
29509787,134005262
29509787,134005202
29509787,134005188
29509787,134005055
29387394,134004936
29387394,134004932
29509787,134004360
29509787,134004352
29509787,134001218
29509787,134001214
29509787,134001087
29509787,134000657
29509787,133999295
29509787,133996248
29509787,133995684
29509787,133995325
29509787,133994804
29509787,133994416
29509787,133994408
29509787,133993805
29509787,133991780
29509787,133991539
29509787,133991480
29509787,133991381
29509787,133989309
29509787,133988396
29509787,133987456
29509787,133987184
29509787,133987174
29509787,133987156
29509787,133987153
29387394,133986868
29387394,133986560
29509787,133985964
29387394,133985905
29387394,133985044
29509787,133984581
29509787,133984462
29509787,133984183
29509787,133983884
29509787,133983761
29509787,133983525
29509787,133983403
29509787,133983394
29509787,133983222
29509787,133983090
29509787,133983023
29509787,133979728
29509787,133979603
29509787,133979204
29509787,133979160
29509787,133975508
29509787,133975098
29387394,133974888
29509787,133974390
29387394,133974088
29509787,133972814
29509787,133972280
29509787,133972254
29509787,133972233
29509787,133972202
29387394,133971422
29509787,133970720
29509787,133970710
29509787,133967033
29509787,133965622
29509787,133965331
29509787,133965266
29509787,133961903
29509787,133961180
29509787,133960970
29509787,133960899
29509787,133960029
29509787,133959980
29387394,133948791
29509787,133938477
29509787,133938473
29387394,133938235
29387394,133938138
29509787,133935369
29509787,133935354
29509787,133935338
29509787,133935000
29509787,133934999
29509787,133934990
29509787,133934788
29509787,133932516
29387394,133932128
29387394,133932109
29387394,133932072
29509787,133931966
29509787,133931698
29509787,133931689
29387394,133931208
29387394,133931163
29387394,133931102
29509787,133930801
29509787,133930565
29509787,133930250
29387394,133930229
29509787,133930185
29509787,133930024
29509787,133929843
29387394,133929842
29509787,133929793
29509787,133929757
29509787,133929591
29509787,133929569
29387394,133929541
29509787,133929471
29509787,133929460
29509787,133929449
29387394,133929203
29509787,133925753
29509787,133925699
29509787,133925650
29509787,133924230
29509787,133924105
29509787,133923697
29509787,133923565
29509787,133923539
29509787,133923525
29509787,133923501
29509787,133923481
29387394,133922503
29509787,133922472
29387394,133922245
29387394,133922196
29387394,133922186
29509787,133921950
29387394,133921438
29387394,133921253
29509787,133920352
29509787,133919629
29509787,133919475
29509787,133919455
29509787,133919432
